district_key,u5mr_posterior_mean,u5mr_ci_lower95,u5mr_ci_upper95,u5mr_posterior_sd,province,had_direct_data,n_births_direct,ci_width,run_mode,model_version
KALAT DISTRICT,51.20194893538632,11.221586407005935,132.73055588758072,33.08575866287689,Balochistan,True,581,121.50896948057479,normal,hazard_v1_censoring_corrected
KHARAN DISTRICT,50.88335398710843,8.943867173334217,156.9815506510478,38.83435171814705,Balochistan,True,175,148.03768347771359,normal,hazard_v1_censoring_corrected
KHUZDAR DISTRICT,43.58150470926948,12.98198893000427,98.2231910065729,22.23837611396916,Balochistan,True,1044,85.24120207656864,normal,hazard_v1_censoring_corrected
LASBELA DISTRICT,41.92446067252753,11.377623760983212,96.88950893209002,22.233474349616372,Balochistan,True,617,85.51188517110681,normal,hazard_v1_censoring_corrected
MASTUNG DISTRICT,46.76984110478711,11.430780354934399,119.47174690793028,28.032578360611986,Balochistan,True,541,108.04096655299588,normal,hazard_v1_censoring_corrected
WASHUK DISTRICT,53.99589104882189,9.838673964609205,155.44689501840134,39.729718497070195,Balochistan,True,214,145.60822105379214,normal,hazard_v1_censoring_corrected
GWADAR DISTRICT,46.80002011890859,8.484984358076263,138.93462186739572,35.19787748212148,Balochistan,True,420,130.44963750931944,normal,hazard_v1_censoring_corrected
KECH DISTRICT,43.29478053654819,8.582770107447695,121.63705483731107,30.140738131296526,Balochistan,True,354,113.05428472986337,normal,hazard_v1_censoring_corrected
PANJGUR DISTRICT,67.26865255542039,10.574513707162515,212.25532397031378,54.73939328544457,Balochistan,False,0,201.68081026315127,normal,hazard_v1_censoring_corrected
JAFFARABAD DISTRICT,40.488747133410584,8.761812497932194,106.95189132018149,26.283491079893206,Balochistan,True,205,98.19007882224929,normal,hazard_v1_censoring_corrected
JHAL MAGSI DISTRICT,40.4870650493078,7.164854516503638,120.99106010428255,30.617699696215514,Balochistan,True,135,113.82620558777892,normal,hazard_v1_censoring_corrected
KACHHI DISTRICT,39.525305046527976,7.235959199525685,120.4926925525802,29.872574494886628,Balochistan,True,156,113.25673335305451,normal,hazard_v1_censoring_corrected
NASIRABAD DISTRICT,48.22514307563523,11.599178645119789,121.51654325815392,29.012652481686374,Balochistan,True,363,109.91736461303412,normal,hazard_v1_censoring_corrected
SOHBATPUR DISTRICT,48.82042024543174,8.793939367121093,145.0705042739493,35.89192592782648,Balochistan,True,108,136.2765649068282,normal,hazard_v1_censoring_corrected
CHAGAI DISTRICT,54.30696583139607,8.178455514896378,187.1769016858294,47.31170146770413,Balochistan,False,0,178.99844617093302,normal,hazard_v1_censoring_corrected
KILLA ABDULLAH DISTRICT,58.77067160700132,18.789360451520295,126.20061632864395,27.88835286877142,Balochistan,True,225,107.41125587712365,normal,hazard_v1_censoring_corrected
NUSHKI DISTRICT,57.57110430641794,9.217464523176469,185.24128285806617,48.76803075871165,Balochistan,False,0,176.0238183348897,normal,hazard_v1_censoring_corrected
PISHIN DISTRICT,50.763054885967584,9.034418083056147,142.0071921907701,35.5037826015192,Balochistan,True,225,132.97277410771395,normal,hazard_v1_censoring_corrected
QUETTA DISTRICT,43.943007254281525,15.373626277677996,89.20512380078054,19.071297974590582,Balochistan,True,1028,73.83149752310254,normal,hazard_v1_censoring_corrected
DERA BUGTI DISTRICT,49.673053039679836,9.23776762866734,144.90504181617476,36.72652059700548,Balochistan,True,359,135.66727418750742,normal,hazard_v1_censoring_corrected
HARNAI DISTRICT,66.03980925380806,10.590243208874154,205.99474019468812,53.99310513603147,Balochistan,False,0,195.40449698581398,normal,hazard_v1_censoring_corrected
KOHLU DISTRICT,34.458516110656824,6.0051146767710755,97.96515912060937,24.77242055079346,Balochistan,True,282,91.9600444438383,normal,hazard_v1_censoring_corrected
SIBI DISTRICT,53.08518018546559,8.479528142301834,161.3557324527629,40.97078614158492,Balochistan,True,129,152.87620431046108,normal,hazard_v1_censoring_corrected
ZIARAT DISTRICT,66.68409214579385,10.759981008453428,216.60631893830382,56.12725749690084,Balochistan,False,0,205.8463379298504,normal,hazard_v1_censoring_corrected
BARKHAN DISTRICT,54.35325872035406,9.105298776300904,174.80702475778986,45.25252210935265,Balochistan,False,0,165.70172598148895,normal,hazard_v1_censoring_corrected
KILLA SAIFULLAH DISTRICT,28.337474405805988,6.417818600182196,71.7963757153168,17.27084221723097,Balochistan,True,401,65.3785571151346,normal,hazard_v1_censoring_corrected
LORALAI DISTRICT,221.89709335239658,123.36158306428425,348.2703310587724,58.55615991713953,Balochistan,True,360,224.90874799448815,normal,hazard_v1_censoring_corrected
MUSAKHEL DISTRICT,59.55620759961499,9.057192368826657,192.02245139873642,49.66768148905577,Balochistan,False,0,182.96525902990976,normal,hazard_v1_censoring_corrected
SHERANI DISTRICT,52.835671730549365,9.110228648729144,163.5861800970863,40.757380977649966,Balochistan,True,89,154.47595144835716,normal,hazard_v1_censoring_corrected
ZHOB DISTRICT,247.62402128939578,117.88885746204333,420.2474000344176,78.38384761678957,Balochistan,True,269,302.35854257237423,normal,hazard_v1_censoring_corrected
ISLAMABAD DISTRICT,26.81250663793633,5.132811411537236,67.18387459819971,16.501953024913476,Federal Capital Territory,True,4435,62.051063186662475,normal,hazard_v1_censoring_corrected
